Year,Units,display,sex,Bundesland,GeoCode,Value
1999,percentage (%),a) time series,a) total,a) germany (total),,14.9
2000,percentage (%),a) time series,a) total,a) germany (total),,14.9
2001,percentage (%),a) time series,a) total,a) germany (total),,12.5
2002,percentage (%),a) time series,a) total,a) germany (total),,12.6
2003,percentage (%),a) time series,a) total,a) germany (total),,12.8
2004,percentage (%),a) time series,a) total,a) germany (total),,12.1
2005,percentage (%),a) time series,a) total,a) germany (total),,13.8
2006,percentage (%),a) time series,a) total,a) germany (total),,14.1
2007,percentage (%),a) time series,a) total,a) germany (total),,12.7
2008,percentage (%),a) time series,a) total,a) germany (total),,11.8
2009,percentage (%),a) time series,a) total,a) germany (total),,11.1
2010,percentage (%),a) time series,a) total,a) germany (total),,11.9
2011,percentage (%),a) time series,a) total,a) germany (total),,11.6
2012,percentage (%),a) time series,a) total,a) germany (total),,10.4
2013,percentage (%),a) time series,a) total,a) germany (total),,9.8
2014,percentage (%),a) time series,a) total,a) germany (total),,9.5
2015,percentage (%),a) time series,a) total,a) germany (total),,9.8
2016,percentage (%),a) time series,a) total,a) germany (total),,10.3
2017,percentage (%),a) time series,a) total,a) germany (total),,10.1
2018,percentage (%),a) time series,a) total,a) germany (total),,10.3
2030,percentage (%),b) target (max),a) total,a) germany (total),,9.5
1999,percentage (%),a) time series,b) female,a) germany (total),,15.6
2000,percentage (%),a) time series,b) female,a) germany (total),,15.2
2001,percentage (%),a) time series,b) female,a) germany (total),,12.8
2002,percentage (%),a) time series,b) female,a) germany (total),,12.6
2003,percentage (%),a) time series,b) female,a) germany (total),,12.8
2004,percentage (%),a) time series,b) female,a) germany (total),,11.9
2005,percentage (%),a) time series,b) female,a) germany (total),,14.2
2006,percentage (%),a) time series,b) female,a) germany (total),,13.8
2007,percentage (%),a) time series,b) female,a) germany (total),,12.0
2008,percentage (%),a) time series,b) female,a) germany (total),,11.2
2009,percentage (%),a) time series,b) female,a) germany (total),,10.8
2010,percentage (%),a) time series,b) female,a) germany (total),,11.0
2011,percentage (%),a) time series,b) female,a) germany (total),,10.6
2012,percentage (%),a) time series,b) female,a) germany (total),,9.7
2013,percentage (%),a) time series,b) female,a) germany (total),,9.3
2014,percentage (%),a) time series,b) female,a) germany (total),,9.0
2015,percentage (%),a) time series,b) female,a) germany (total),,9.5
2016,percentage (%),a) time series,b) female,a) germany (total),,9.6
2017,percentage (%),a) time series,b) female,a) germany (total),,9.0
2018,percentage (%),a) time series,b) female,a) germany (total),,9.1
1999,percentage (%),a) time series,c) male,a) germany (total),,14.2
2000,percentage (%),a) time series,c) male,a) germany (total),,14.6
2001,percentage (%),a) time series,c) male,a) germany (total),,12.2
2002,percentage (%),a) time series,c) male,a) germany (total),,12.6
2003,percentage (%),a) time series,c) male,a) germany (total),,12.9
2004,percentage (%),a) time series,c) male,a) germany (total),,12.2
2005,percentage (%),a) time series,c) male,a) germany (total),,13.5
2006,percentage (%),a) time series,c) male,a) germany (total),,14.4
2007,percentage (%),a) time series,c) male,a) germany (total),,13.5
2008,percentage (%),a) time series,c) male,a) germany (total),,12.4
2009,percentage (%),a) time series,c) male,a) germany (total),,11.5
2010,percentage (%),a) time series,c) male,a) germany (total),,12.7
2011,percentage (%),a) time series,c) male,a) germany (total),,12.5
2012,percentage (%),a) time series,c) male,a) germany (total),,11.0
2013,percentage (%),a) time series,c) male,a) germany (total),,10.3
2014,percentage (%),a) time series,c) male,a) germany (total),,10.0
2015,percentage (%),a) time series,c) male,a) germany (total),,10.1
2016,percentage (%),a) time series,c) male,a) germany (total),,11.0
2017,percentage (%),a) time series,c) male,a) germany (total),,11.1
2018,percentage (%),a) time series,c) male,a) germany (total),,11.4
2010,percentage (%),a) time series,a) total,bw,code08,9.8
2011,percentage (%),a) time series,a) total,bw,code08,9.9
2012,percentage (%),a) time series,a) total,bw,code08,8.3
2013,percentage (%),a) time series,a) total,bw,code08,7.6
2014,percentage (%),a) time series,a) total,bw,code08,7.9
2015,percentage (%),a) time series,a) total,bw,code08,8.3
2016,percentage (%),a) time series,a) total,bw,code08,9.4
2017,percentage (%),a) time series,a) total,bw,code08,8.7
2018,percentage (%),a) time series,a) total,bw,code08,9.7
2010,percentage (%),a) time series,a) total,by,code09,9.4
2011,percentage (%),a) time series,a) total,by,code09,9.1
2012,percentage (%),a) time series,a) total,by,code09,7.4
2013,percentage (%),a) time series,a) total,by,code09,7.3
2014,percentage (%),a) time series,a) total,by,code09,6.4
2015,percentage (%),a) time series,a) total,by,code09,6.2
2016,percentage (%),a) time series,a) total,by,code09,7.6
2017,percentage (%),a) time series,a) total,by,code09,7.2
2018,percentage (%),a) time series,a) total,by,code09,7.2
2010,percentage (%),a) time series,a) total,be,code11,14.6
2011,percentage (%),a) time series,a) total,be,code11,13.1
2012,percentage (%),a) time series,a) total,be,code11,13.0
2013,percentage (%),a) time series,a) total,be,code11,11.9
2014,percentage (%),a) time series,a) total,be,code11,13.5
2015,percentage (%),a) time series,a) total,be,code11,13.7
2016,percentage (%),a) time series,a) total,be,code11,11.7
2017,percentage (%),a) time series,a) total,be,code11,13.2
2018,percentage (%),a) time series,a) total,be,code11,13.6
2010,percentage (%),a) time series,a) total,bb,code12,9.6
2011,percentage (%),a) time series,a) total,bb,code12,10.2
2012,percentage (%),a) time series,a) total,bb,code12,10.0
2013,percentage (%),a) time series,a) total,bb,code12,10.6
2014,percentage (%),a) time series,a) total,bb,code12,9.0
2015,percentage (%),a) time series,a) total,bb,code12,11.6
2016,percentage (%),a) time series,a) total,bb,code12,11.0
2017,percentage (%),a) time series,a) total,bb,code12,12.3
2018,percentage (%),a) time series,a) total,bb,code12,11.5
2010,percentage (%),a) time series,a) total,hb,code04,14.3
2011,percentage (%),a) time series,a) total,hb,code04,17.2
2012,percentage (%),a) time series,a) total,hb,code04,13.3
2013,percentage (%),a) time series,a) total,hb,code04,14.9
2014,percentage (%),a) time series,a) total,hb,code04,14.0
2015,percentage (%),a) time series,a) total,hb,code04,11.5
2016,percentage (%),a) time series,a) total,hb,code04,11.1
2017,percentage (%),a) time series,a) total,hb,code04,10.9
2018,percentage (%),a) time series,a) total,hb,code04,14.6
2010,percentage (%),a) time series,a) total,hh,code02,13.2
2011,percentage (%),a) time series,a) total,hh,code02,13.2
2012,percentage (%),a) time series,a) total,hh,code02,12.5
2013,percentage (%),a) time series,a) total,hh,code02,11.6
2014,percentage (%),a) time series,a) total,hh,code02,11.8
2015,percentage (%),a) time series,a) total,hh,code02,12.6
2016,percentage (%),a) time series,a) total,hh,code02,12.8
2017,percentage (%),a) time series,a) total,hh,code02,11.4
2018,percentage (%),a) time series,a) total,hh,code02,11.6
2010,percentage (%),a) time series,a) total,he,code06,11.8
2011,percentage (%),a) time series,a) total,he,code06,10.6
2012,percentage (%),a) time series,a) total,he,code06,9.1
2013,percentage (%),a) time series,a) total,he,code06,10.0
2014,percentage (%),a) time series,a) total,he,code06,9.7
2015,percentage (%),a) time series,a) total,he,code06,9.5
2016,percentage (%),a) time series,a) total,he,code06,10.5
2017,percentage (%),a) time series,a) total,he,code06,10.2
2018,percentage (%),a) time series,a) total,he,code06,10.7
2010,percentage (%),a) time series,a) total,mv,code13,9.2
2011,percentage (%),a) time series,a) total,mv,code13,9.9
2012,percentage (%),a) time series,a) total,mv,code13,11.0
2013,percentage (%),a) time series,a) total,mv,code13,9.6
2014,percentage (%),a) time series,a) total,mv,code13,9.9
2015,percentage (%),a) time series,a) total,mv,code13,10.6
2016,percentage (%),a) time series,a) total,mv,code13,13.6
2017,percentage (%),a) time series,a) total,mv,code13,9.8
2018,percentage (%),a) time series,a) total,mv,code13,11.1
2010,percentage (%),a) time series,a) total,ni,code03,13.9
2011,percentage (%),a) time series,a) total,ni,code03,14.1
2012,percentage (%),a) time series,a) total,ni,code03,11.8
2013,percentage (%),a) time series,a) total,ni,code03,10.8
2014,percentage (%),a) time series,a) total,ni,code03,10.7
2015,percentage (%),a) time series,a) total,ni,code03,10.7
2016,percentage (%),a) time series,a) total,ni,code03,12.1
2017,percentage (%),a) time series,a) total,ni,code03,11.3
2018,percentage (%),a) time series,a) total,ni,code03,11.0
2010,percentage (%),a) time series,a) total,nw,code05,14.6
2011,percentage (%),a) time series,a) total,nw,code05,13.6
2012,percentage (%),a) time series,a) total,nw,code05,12.8
2013,percentage (%),a) time series,a) total,nw,code05,11.6
2014,percentage (%),a) time series,a) total,nw,code05,11.3
2015,percentage (%),a) time series,a) total,nw,code05,11.4
2016,percentage (%),a) time series,a) total,nw,code05,11.4
2017,percentage (%),a) time series,a) total,nw,code05,11.6
2018,percentage (%),a) time series,a) total,nw,code05,12.0
2010,percentage (%),a) time series,a) total,rp,code07,15.5
2011,percentage (%),a) time series,a) total,rp,code07,13.5
2012,percentage (%),a) time series,a) total,rp,code07,12.5
2013,percentage (%),a) time series,a) total,rp,code07,13.1
2014,percentage (%),a) time series,a) total,rp,code07,10.4
2015,percentage (%),a) time series,a) total,rp,code07,12.2
2016,percentage (%),a) time series,a) total,rp,code07,11.8
2017,percentage (%),a) time series,a) total,rp,code07,11.7
2018,percentage (%),a) time series,a) total,rp,code07,11.5
2010,percentage (%),a) time series,a) total,sl,code10,13.2
2011,percentage (%),a) time series,a) total,sl,code10,15.4
2012,percentage (%),a) time series,a) total,sl,code10,12.9
2013,percentage (%),a) time series,a) total,sl,code10,14.1
2014,percentage (%),a) time series,a) total,sl,code10,11.9
2015,percentage (%),a) time series,a) total,sl,code10,12.2
2016,percentage (%),a) time series,a) total,sl,code10,10.3
2017,percentage (%),a) time series,a) total,sl,code10,11.7
2018,percentage (%),a) time series,a) total,sl,code10,11.8
2010,percentage (%),a) time series,a) total,sn,code14,7.6
2011,percentage (%),a) time series,a) total,sn,code14,7.7
2012,percentage (%),a) time series,a) total,sn,code14,7.7
2013,percentage (%),a) time series,a) total,sn,code14,6.5
2014,percentage (%),a) time series,a) total,sn,code14,6.8
2015,percentage (%),a) time series,a) total,sn,code14,8.4
2016,percentage (%),a) time series,a) total,sn,code14,7.7
2017,percentage (%),a) time series,a) total,sn,code14,8.6
2018,percentage (%),a) time series,a) total,sn,code14,7.5
2010,percentage (%),a) time series,a) total,st,code15,11.7
2011,percentage (%),a) time series,a) total,st,code15,12.9
2012,percentage (%),a) time series,a) total,st,code15,11.1
2013,percentage (%),a) time series,a) total,st,code15,9.7
2014,percentage (%),a) time series,a) total,st,code15,9.3
2015,percentage (%),a) time series,a) total,st,code15,12.2
2016,percentage (%),a) time series,a) total,st,code15,11.2
2017,percentage (%),a) time series,a) total,st,code15,13.6
2018,percentage (%),a) time series,a) total,st,code15,9.1
2010,percentage (%),a) time series,a) total,sh,code01,12.6
2011,percentage (%),a) time series,a) total,sh,code01,12.9
2012,percentage (%),a) time series,a) total,sh,code01,12.3
2013,percentage (%),a) time series,a) total,sh,code01,10.3
2014,percentage (%),a) time series,a) total,sh,code01,12.8
2015,percentage (%),a) time series,a) total,sh,code01,10.6
2016,percentage (%),a) time series,a) total,sh,code01,10.7
2017,percentage (%),a) time series,a) total,sh,code01,9.1
2018,percentage (%),a) time series,a) total,sh,code01,10.1
2010,percentage (%),a) time series,a) total,th,code16,6.3
2011,percentage (%),a) time series,a) total,th,code16,7.7
2012,percentage (%),a) time series,a) total,th,code16,7.0
2013,percentage (%),a) time series,a) total,th,code16,7.7
2014,percentage (%),a) time series,a) total,th,code16,6.1
2015,percentage (%),a) time series,a) total,th,code16,8.3
2016,percentage (%),a) time series,a) total,th,code16,8.8
2017,percentage (%),a) time series,a) total,th,code16,8.7
2018,percentage (%),a) time series,a) total,th,code16,8.5
