Year,Units,display,age,Bundesland,GeoCode,Value
2006,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,5.9
2007,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,6.5
2008,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,7.3
2009,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,8.7
2010,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,10.2
2011,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,11.3
2012,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,12.7
2013,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,13.7
2014,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,15.3
2015,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,15.9
2016,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,16.2
2017,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,16.2
2018,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,16.5
2019,percentage (%),a) time series,0- to 2-year-olds,a) germany (total),,16.9
2030,percentage (%),b) target (min),0- to 2-year-olds,a) germany (total),,35.0
2006,percentage (%),a) time series,0- to 2-year-olds,bw,code08,1.7
2007,percentage (%),a) time series,0- to 2-year-olds,bw,code08,2.2
2008,percentage (%),a) time series,0- to 2-year-olds,bw,code08,2.7
2009,percentage (%),a) time series,0- to 2-year-olds,bw,code08,3.4
2010,percentage (%),a) time series,0- to 2-year-olds,bw,code08,4.5
2011,percentage (%),a) time series,0- to 2-year-olds,bw,code08,5.4
2012,percentage (%),a) time series,0- to 2-year-olds,bw,code08,6.6
2013,percentage (%),a) time series,0- to 2-year-olds,bw,code08,7.3
2014,percentage (%),a) time series,0- to 2-year-olds,bw,code08,8.7
2015,percentage (%),a) time series,0- to 2-year-olds,bw,code08,9.3
2016,percentage (%),a) time series,0- to 2-year-olds,bw,code08,9.6
2017,percentage (%),a) time series,0- to 2-year-olds,bw,code08,9.6
2018,percentage (%),a) time series,0- to 2-year-olds,bw,code08,9.7
2019,percentage (%),a) time series,0- to 2-year-olds,bw,code08,9.9
2006,percentage (%),a) time series,0- to 2-year-olds,by,code09,1.9
2007,percentage (%),a) time series,0- to 2-year-olds,by,code09,2.4
2008,percentage (%),a) time series,0- to 2-year-olds,by,code09,2.9
2009,percentage (%),a) time series,0- to 2-year-olds,by,code09,3.5
2010,percentage (%),a) time series,0- to 2-year-olds,by,code09,4.5
2011,percentage (%),a) time series,0- to 2-year-olds,by,code09,5.4
2012,percentage (%),a) time series,0- to 2-year-olds,by,code09,7.1
2013,percentage (%),a) time series,0- to 2-year-olds,by,code09,7.9
2014,percentage (%),a) time series,0- to 2-year-olds,by,code09,8.9
2015,percentage (%),a) time series,0- to 2-year-olds,by,code09,9.4
2016,percentage (%),a) time series,0- to 2-year-olds,by,code09,9.6
2017,percentage (%),a) time series,0- to 2-year-olds,by,code09,9.6
2018,percentage (%),a) time series,0- to 2-year-olds,by,code09,9.8
2019,percentage (%),a) time series,0- to 2-year-olds,by,code09,10.1
2006,percentage (%),a) time series,0- to 2-year-olds,be,code11,19.4
2007,percentage (%),a) time series,0- to 2-year-olds,be,code11,20.3
2008,percentage (%),a) time series,0- to 2-year-olds,be,code11,21.0
2009,percentage (%),a) time series,0- to 2-year-olds,be,code11,22.7
2010,percentage (%),a) time series,0- to 2-year-olds,be,code11,24.0
2011,percentage (%),a) time series,0- to 2-year-olds,be,code11,24.8
2012,percentage (%),a) time series,0- to 2-year-olds,be,code11,26.1
2013,percentage (%),a) time series,0- to 2-year-olds,be,code11,27.1
2014,percentage (%),a) time series,0- to 2-year-olds,be,code11,28.1
2015,percentage (%),a) time series,0- to 2-year-olds,be,code11,27.5
2016,percentage (%),a) time series,0- to 2-year-olds,be,code11,27.8
2017,percentage (%),a) time series,0- to 2-year-olds,be,code11,27.5
2018,percentage (%),a) time series,0- to 2-year-olds,be,code11,28.5
2019,percentage (%),a) time series,0- to 2-year-olds,be,code11,27.8
2006,percentage (%),a) time series,0- to 2-year-olds,bb,code12,22.1
2007,percentage (%),a) time series,0- to 2-year-olds,bb,code12,23.8
2008,percentage (%),a) time series,0- to 2-year-olds,bb,code12,23.8
2009,percentage (%),a) time series,0- to 2-year-olds,bb,code12,26.6
2010,percentage (%),a) time series,0- to 2-year-olds,bb,code12,29.4
2011,percentage (%),a) time series,0- to 2-year-olds,bb,code12,30.7
2012,percentage (%),a) time series,0- to 2-year-olds,bb,code12,32.2
2013,percentage (%),a) time series,0- to 2-year-olds,bb,code12,33.0
2014,percentage (%),a) time series,0- to 2-year-olds,bb,code12,33.5
2015,percentage (%),a) time series,0- to 2-year-olds,bb,code12,33.2
2016,percentage (%),a) time series,0- to 2-year-olds,bb,code12,34.0
2017,percentage (%),a) time series,0- to 2-year-olds,bb,code12,33.5
2018,percentage (%),a) time series,0- to 2-year-olds,bb,code12,34.5
2019,percentage (%),a) time series,0- to 2-year-olds,bb,code12,35.6
2006,percentage (%),a) time series,0- to 2-year-olds,hb,code04,2.7
2007,percentage (%),a) time series,0- to 2-year-olds,hb,code04,3.6
2008,percentage (%),a) time series,0- to 2-year-olds,hb,code04,4.6
2009,percentage (%),a) time series,0- to 2-year-olds,hb,code04,5.1
2010,percentage (%),a) time series,0- to 2-year-olds,hb,code04,6.2
2011,percentage (%),a) time series,0- to 2-year-olds,hb,code04,8.5
2012,percentage (%),a) time series,0- to 2-year-olds,hb,code04,9.8
2013,percentage (%),a) time series,0- to 2-year-olds,hb,code04,10.9
2014,percentage (%),a) time series,0- to 2-year-olds,hb,code04,13.5
2015,percentage (%),a) time series,0- to 2-year-olds,hb,code04,14.3
2016,percentage (%),a) time series,0- to 2-year-olds,hb,code04,14.4
2017,percentage (%),a) time series,0- to 2-year-olds,hb,code04,14.0
2018,percentage (%),a) time series,0- to 2-year-olds,hb,code04,14.2
2019,percentage (%),a) time series,0- to 2-year-olds,hb,code04,13.9
2006,percentage (%),a) time series,0- to 2-year-olds,hh,code02,8.9
2007,percentage (%),a) time series,0- to 2-year-olds,hh,code02,9.9
2008,percentage (%),a) time series,0- to 2-year-olds,hh,code02,10.4
2009,percentage (%),a) time series,0- to 2-year-olds,hh,code02,12.3
2010,percentage (%),a) time series,0- to 2-year-olds,hh,code02,14.6
