Year,Units,display,title,Value
2015,percentage (%),a) time series,b) women on supervisory boards of listed companies and companies subject to full co-determination,21.3
2016,percentage (%),a) time series,b) women on supervisory boards of listed companies and companies subject to full co-determination,23.8
2017,percentage (%),a) time series,b) women on supervisory boards of listed companies and companies subject to full co-determination,28.1
2018,percentage (%),a) time series,b) women on supervisory boards of listed companies and companies subject to full co-determination,30.9
2019,percentage (%),a) time series,b) women on supervisory boards of listed companies and companies subject to full co-determination,33.9
2020,percentage (%),a) time series,b) women on supervisory boards of listed companies and companies subject to full co-determination,35.2
1999,percentage (%),a) time series,c) women in leading positions in the federal civil service,19.3
2000,percentage (%),a) time series,c) women in leading positions in the federal civil service,19.5
2001,percentage (%),a) time series,c) women in leading positions in the federal civil service,18.5
2002,percentage (%),a) time series,c) women in leading positions in the federal civil service,19.7
2003,percentage (%),a) time series,c) women in leading positions in the federal civil service,24.0
2004,percentage (%),a) time series,c) women in leading positions in the federal civil service,24.0
2005,percentage (%),a) time series,c) women in leading positions in the federal civil service,26.6
2006,percentage (%),a) time series,c) women in leading positions in the federal civil service,26.9
2007,percentage (%),a) time series,c) women in leading positions in the federal civil service,27.8
2008,percentage (%),a) time series,c) women in leading positions in the federal civil service,28.7
2009,percentage (%),a) time series,c) women in leading positions in the federal civil service,29.9
2010,percentage (%),a) time series,c) women in leading positions in the federal civil service,30.8
2011,percentage (%),a) time series,c) women in leading positions in the federal civil service,30.6
2012,percentage (%),a) time series,c) women in leading positions in the federal civil service,30.6
2013,percentage (%),a) time series,c) women in leading positions in the federal civil service,30.6
2014,percentage (%),a) time series,c) women in leading positions in the federal civil service,32.1
2015,percentage (%),a) time series,c) women in leading positions in the federal civil service,33.6
2017,percentage (%),a) time series,c) women in leading positions in the federal civil service,35.2
