Year,Units,display,title,Value
1991,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.2
1992,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-2.6
1993,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.1
1994,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-2.5
1995,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-9.4
1996,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.6
1997,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-2.9
1998,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-2.6
1999,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-1.7
2000,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-1.6
2001,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.0
2002,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.9
2003,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.7
2004,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.3
2005,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.3
2006,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-1.7
2007,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.3
2008,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-0.1
2009,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.2
2010,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-4.4
2011,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-0.9
2012,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.0
2013,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.0
2014,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.6
2015,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.9
2016,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.2
2017,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.2
2018,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.9
2019,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.5
1991,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
1992,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
1993,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
1994,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
1995,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
1996,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
1997,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
1998,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
1999,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2000,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2001,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2002,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2003,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
